,qmof_id,pld,density,volume,ddec_charge_i,atom_i,U
0,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.23439,Cu,13.2713
24,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.234423,Cu,13.2714
48,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.234366,Cu,13.2713
72,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297503,Cu,13.2712
96,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297568,S,3.8321
120,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297412,S,3.8321
144,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297531,S,3.8319
168,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.38991,S,3.8321
192,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.389836,Br,4.9638
216,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.389914,Br,4.9639
240,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.389887,Br,4.964
264,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.095005,Br,4.9638
516,qmof-00c8700,5.15664,0.7456257879349211,4534.52048486268,-0.585156,O,8.1821
554,qmof-00c8700,5.15664,0.7456257879349211,4534.52048486268,-0.586816,O,8.151
592,qmof-00c8700,5.15664,0.7456257879349211,4534.52048486268,-0.587728,O,8.1515
630,qmof-00c8700,5.15664,0.7456257879349211,4534.52048486268,-0.604843,O,8.1769
668,qmof-00c8700,5.15664,0.7456257879349211,4534.52048486268,-0.60623,O,8.0939
706,qmof-00c8700,5.15664,0.7456257879349211,4534.52048486268,-0.606574,O,8.018
744,qmof-00c8700,5.15664,0.7456257879349211,4534.52048486268,-0.60306,O,8.0173
782,qmof-00c8700,5.15664,0.7456257879349211,4534.52048486268,-1.158375,O,8.1036
820,qmof-00c8700,5.15664,0.7456257879349211,4534.52048486268,-1.156988,O,8.233
858,qmof-00c8700,5.15664,0.7456257879349211,4534.52048486268,-1.077455,O,8.2335
896,qmof-00c8700,5.15664,0.7456257879349211,4534.52048486268,-1.082258,O,7.6909
