,qmof_id,pld,density,volume,ddec_charge_i,ddec_charge_j,distance,atom_i,atom_j,V
1,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.23439,-0.297568,4.262269,Cu,S,0.076
2,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.23439,-0.297531,4.519819,Cu,S,0.32
3,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.23439,-0.389887,4.676169,Cu,Br,-0.615
4,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.23439,-0.389836,4.704777,Cu,Br,-0.5561
5,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.23439,0.234366,5.058731,Cu,Cu,0.141
7,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.23439,-0.297568,8.449849,Cu,S,0.0547
8,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.23439,-0.389887,8.58847,Cu,Br,-0.0722
9,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.23439,-0.389836,8.696982,Cu,Br,0.0221
10,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.23439,-0.297531,9.067107,Cu,S,-0.0136
11,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.23439,0.23439,10.498118,Cu,Cu,-0.0239
12,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.23439,0.095005,15.719047,Cu,Br,-0.0221
13,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.23439,-0.389914,16.057273,Cu,Br,-0.0639
14,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.23439,-0.297412,16.145376,Cu,S,-0.0393
17,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.23439,-0.38991,17.598893,Cu,S,-0.0207
18,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.23439,-0.297412,18.073327,Cu,S,-0.0109
19,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.23439,-0.389914,18.267185,Cu,Br,-0.0337
20,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.23439,0.234423,19.121432,Cu,Cu,-0.0245
21,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.23439,-0.297503,19.658506,Cu,Cu,-0.0248
22,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.23439,-0.297503,19.659449,Cu,Cu,-0.0248
23,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.23439,0.234423,21.519981,Cu,Cu,-0.0228
25,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.234423,-0.297412,4.262174,Cu,S,0.0761
26,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.234423,-0.38991,4.519567,Cu,S,0.3202
27,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.234423,0.095005,4.675583,Cu,Br,-0.6148
