feature,coefficient
Intercept,10.409091349230483
Q('pld'),-0.03221782613689488
Q('density'),-0.31248419676351324
Q('volume'),-2.6988682764038784e-05
Q('ddec_charge_i'),0.03351498403871805
Q('atom_i_Br'),-4.838124207219558
Q('atom_i_C'),-6.059475628768191
Q('atom_i_Cl'),-3.8043816825499
Q('atom_i_Co'),-1.1647443798990444
Q('atom_i_Cu'),3.0146086332121285
Q('atom_i_H'),-3.3600241840668947
Q('atom_i_Hf'),-7.007135109212324
Q('atom_i_I'),-5.813401711047642
Q('atom_i_Ir'),-7.245771462257602
Q('atom_i_Mo'),-5.628169802084836
Q('atom_i_N'),-4.1985028746474935
Q('atom_i_Ni'),0.22989907725028105
Q('atom_i_O'),-1.7355058560355443
Q('atom_i_P'),-8.137472473309872
Q('atom_i_Pd'),-2.837009828218719
Q('atom_i_Pt'),-5.562729748734396
Q('atom_i_Re'),-5.999943682694608
Q('atom_i_Rh'),-4.038617640112427
Q('atom_i_Ru'),-4.227914250886494
Q('atom_i_S'),-6.5061977586297175
Q('atom_i_Sc'),-5.533742083975308
Q('atom_i_Sn'),-7.453032259357144
Q('atom_i_Ti'),-2.8875397212080265
Q('atom_i_W'),-7.099349617220602
Q('atom_i_Y'),-7.277903563110561
Q('atom_i_Zr'),-6.622758406604179
