feature,coefficient
Intercept,0.06633838756813244
Q('pld'),-0.0022746743859719345
Q('density'),-0.003172463294001012
Q('volume'),2.251011200752764e-06
Q('ddec_charge_i'),-0.0015481005057468248
Q('ddec_charge_j'),-0.002730825760993397
Q('distance'),-0.004395098086751881
Q('atom_i_Br'),0.12072919819341074
Q('atom_i_C'),-0.006837052890244634
Q('atom_i_Cu'),-0.2023624025027232
Q('atom_i_H'),0.023219662670776884
Q('atom_i_I'),0.053844382789572924
Q('atom_i_N'),0.021431171472318745
Q('atom_i_Ni'),0.19896412519939868
Q('atom_i_Rh'),0.1710528487312013
Q('atom_i_Ru'),0.9943004175333827
Q('atom_i_S'),-0.3523375506325193
Q('atom_i_Sc'),0.29677914122637405
Q('atom_i_Sn'),-0.03122487894138937
Q('atom_i_Ti'),0.12139851101247359
Q('atom_i_W'),0.1722239153548438
Q('atom_i_Zr'),-0.004489394067574972
Q('atom_j_Cu'),-0.33404656554375683
Q('atom_j_H'),0.022821290618171532
Q('atom_j_I'),-0.03161839729672643
Q('atom_j_N'),0.027119397005253183
Q('atom_j_Ni'),0.20549637416698197
Q('atom_j_Rh'),0.17434881976682462
Q('atom_j_Ru'),1.0002435650067
Q('atom_j_S'),-0.4450530442612139
Q('atom_j_Sc'),0.29905805462761675
Q('atom_j_Ti'),0.10873825522331153
Q('atom_j_W'),0.09246311039228923
