feature,importance
volume,0.2830756127241715
atom_j_Cu,0.17223398801256493
distance,0.11109689731483838
ddec_charge_j,0.09094029572949626
atom_i_Cu,0.08291056336809355
atom_j_S,0.07512442743453276
pld,0.06702217273581353
ddec_charge_i,0.033231015896988646
atom_i_S,0.02799347368152836
atom_j_N,0.021866031449426532
atom_i_N,0.018371643221388206
density,0.010941797268122142
atom_j_O,0.0010554570759344077
atom_i_O,0.0009941928525619755
atom_i_Sc,0.0006825185669426997
atom_j_I,0.000634455187034682
atom_j_Sc,0.0004956417736206346
atom_i_I,0.0003519375019069087
atom_j_Zr,0.0002614700614310751
atom_i_Zr,0.00024378959598335553
atom_i_Ni,0.00011276145011354091
atom_j_Ni,0.00011000081807845695
atom_j_Rh,7.280596432518275e-05
atom_i_Br,2.666552273902238e-05
atom_i_Rh,2.2933310179129996e-05
atom_j_Br,2.1739230466647648e-05
atom_j_Hf,1.7447661416253365e-05
atom_i_H,1.4694030958255404e-05
atom_i_Cl,1.377304300095022e-05
atom_i_Sn,1.3740883304358946e-05
atom_j_Sn,1.3020679665090195e-05
atom_j_H,1.1278504035321989e-05
atom_i_Hf,9.289903902420207e-06
atom_j_Cl,6.8667470787282846e-06
atom_i_C,4.424685460258249e-06
atom_j_Y,3.1147031090909556e-07
atom_i_Y,2.1421247424317356e-07
atom_i_Mo,1.8972068010561623e-07
atom_j_C,1.7553978489702328e-07
atom_i_Co,1.2929427935617833e-07
atom_j_Co,1.2636160341208308e-07
atom_i_Re,2.9513762988946607e-08
atom_j_Pt,0.0
atom_j_Ru,0.0
atom_j_Ti,0.0
atom_j_W,0.0
atom_j_Re,0.0
atom_i_P,0.0
atom_j_Pd,0.0
atom_j_P,0.0
atom_j_Mo,0.0
atom_j_Ir,0.0
atom_i_Pd,0.0
atom_i_Ir,0.0
atom_i_Ti,0.0
atom_i_Ru,0.0
atom_i_Pt,0.0
atom_i_W,0.0
